Inventerings datum,Kund nummer,Kund,Kontaktperson,Telefonnummer,E-mail,Distrikt/ Ort,Fastighets beteckning,Hissbeteckning,Hissadress,Besiktningsorgan,Hissnummer,Besiktningsmånad,Skötselföretag,Märklast / Antal personer,Antal Plan/ Antal Dörrar,Typ av dörrar,Genomgång,Kollektiv,Bärbeslag automatdörrar typ och år,Dörrmaskin / Korgdörr typ och år,Korgstorlek BxDjxH i mm,Dagöppning dörrar BxH,Nödtelefon,Hastighet i m/s,Lyfthöjd i m,Schaktbelysning,Hisstyp,Byggår,Moderniseringsår,Garanti,Rekommenderat moderniseringsår,Uppdaterat budgetbelopp 2026,EJ aktuellt budgetbelopp,Drivsystem,Upphängning,Hiss Fabrikat,Maskinplacering,Typ av maskin och år,Typ av styrsystem och år,Övriga kommentarer,Åtgärder vid modernisering
2021-10,,Bostadsbolaget,,,,Hisingen,,Möbelhiss,Memoargatan 18,Dekra,L7787113,April,Hissteknik,500*6,10*10,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,1000*2050*2300,900*2000,Nej,0.6,26,Ja Lysrör,Linhiss,1962,1998,Nej,2023,=SUM(AH3*1.3),800000,Frekvensstyrd,1;1,Asea,Toppmaskin dubbel omslutning,Asea HSE 40,Kone TMS50*1998,UrsprungligHR och maskin.,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Brythjul i maskinrum byts, Korgdörr monteras, Lås byts, Dörrkontakter byts,, Handtag byts, Korg byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras,  Maskinrum målas, Grop målas, Schaktbelysning byts"
2021-10,,Bostadsbolaget,,,,Hisingen,,Möbelhiss,Memoargatan 20,Dekra,L7787122,April,Hissteknik,500*6,10*10,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,1000*2050*2300,900*2000,Nej,0.6,26,Ja Lysrör,Linhiss,1962,1998,Nej,2023,=SUM(AH4*1.3),800000,Frekvensstyrd,1;1,Asea,Toppmaskin dubbel omslutning,Asea HSE 40,Kone TMS50*1998,UrsprungligHR och maskin.,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Brythjul i maskinrum byts, Korgdörr monteras, Lås byts, Dörrkontakter byts,, Handtag byts, Korg byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras,  Maskinrum målas, Grop målas, Schaktbelysning byts"
2021-05,,Bostadsbolaget,,,,Centrum/Landala,,Varu-Personhiss,Amund Grewegatan 3,Dekra,L1560163,Oktober,Schindler,640;8,4;4,Slagdörrar,Ja,Direktstyrt med anropslagring,Inga automatdörrar,"Ja, Fineline",1400*1650*2250,900*2100,"Ja, Safeline, GSM med pictogram",0.4,7,Ja Lysrör,Hydraulhiss,1971,2007-vinga,Nej,2026,=SUM(AH5*1.3),500000,Hydraul med elektroniska ventiler,1;1,Deve,Källarmaskin,Hydroelite-2007,Hydroelite-2007,Hissen går inte bra,"Styrsystem byts, Hissmaskineri byts, Korgdörr byts, Lås byts, Dörrkontakter byts, Bärrullar schaktdörrar byts, Maskinrum målas, Grop målas, Schaktbelysning byts, Hydraulcylinder packas om"
2021-08,,Bostadsbolaget,,,,Centrum/Haga,,Personhiss,Bellmansgatan 3-5,Dekra,L1560421,Oktober,Schindler,630*8,6*6,Automatdörrar T2,Nej,Nedkollektiv,AMD R2*,"Ja, AMD R2*",1100*1400*2160,800*2000,"Ja, Safeline",0.6,14,Ja Lysrör,Linhydraulhiss,1987,2016,Nej,2041,=SUM(AH6*1.3),600000,Hydraul med elektroniska ventiler,1;2,Kone,Bottenplan,Hydroware*2016,Hydroware*2016,,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Korgdörr byts, Topptracks byts, Korginredning byts, Maskinrum målas, Schaktbelysning byts"
2021-06,,Bostadsbolaget,,,,Centrum/Ö.Heden,,Personhiss,Bohusgatan 3,Dekra,L1565499,Oktober,Schindler,630*8,6*6,Automatdörrar T2,Nej,Nedkollektiv,AMD R2*2011,AMD R2*2011,1080*2040*2180,800*2000,"Ja, Comlink, GSM med pictogram",1,14,Ja Lysrör,Linhiss,1988,2011,Nej,2036,=SUM(AH7*1.3),700000,Frekvensstyrning,2;1,Otis,Toppmaskin,Xinda gearless*2011,P-dahl S3*2011,"Bromsen slår,HR utbytt 2021","Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Korgdörr byts, Korginredning byts, Maskinrum målas, Grop målas, Schaktbelysning byts"
2021-06,,Bostadsbolaget,,,,Centrum/Ö.Heden,,Personhiss,Bohusgatan 5,Dekra,L1565506,Oktober,Schindler,630*8,7*7,Automatdörrar T2,Nej,Nedkollektiv,AMD R2*2011,AMD R2*2011,1080*2040*2180,800*2000,"Ja, Safeline, GSM med pictogram",1,17,Ja Lysrör,Linhiss,1988,2011,Nej,2036,=SUM(AH8*1.3),700000,Frekvensstyrning,2;1,Otis,Toppsidmaskin,Xinda gearless*2011,P-dahl S3*2011,HR och Lina spånar,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Korgdörr byts, Korginredning byts, Maskinrum målas, Grop målas, Schaktbelysning byts"
2022-01,,Bostadsbolaget,,,,Centrum/Guldheden,,Personhiss,Doktor Sven Johanssons Backe 2,Kiwa,S691358,Augusti,Schindler,1125*15,8*8,Automatdörrar T2,Nej,Nedkollektiv,Schindler*2019,"Ja, Schindler*2019",1200*2100*2100,900*2100,"Ja, Modell, Schindler Cube",1,20,Ja Lysrör,MRL linhiss,2019,Ej ombyggd,Nej,2044,=SUM(AH9*1.3),Enligt senare,Frekvensstyrd,2;1,Schindler,Sidohängd toppmaskin,Schindler*2019,Schindler*2019,3300,Enligt senare
2022-01,,Bostadsbolaget,,,,Centrum/Guldheden,,Personhiss,Doktor Sven Johanssons Backe 4,Kiwa,S691357,Augusti,Schindler,1125*15,8*8,Automatdörrar T2,Nej,Nedkollektiv,Schindler*2019,"Ja, Schindler*2019",1200*2100*2100,900*2100,"Ja, Modell, Schindler Cube",1,20,Ja Lysrör,MRL linhiss,2019,Ej ombyggd,Nej,2044,=SUM(AH10*1.3),Enligt senare,Frekvensstyrd,2;1,Schindler,Sidohängd toppmaskin,Schindler*2019,Schindler*2019,3300,Enligt senare
2022-09,969676-6923,Fastighetsbolaget Bredfjäll KB,,,,Hammarkullen,,Möbelhiss,Bredfjällsgatan 58,Dekra,L7771237,Maj,Hissteknik,500*6,9*9,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Nej,990*2060*2200,900*2000,Nej,1,21,Ja Lysrör,Linhiss,1969,1997,Nej,2024,=SUM(AH11*1.3),800000,Frekvensstyrd,2;1,Kone,Sidohängd toppmaskin,Kone VK14*1969,Kone TMS50*1997,,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, HR byts,  Korgdörr monteras, Automatdörrar monteras, Lättviktskorg monteras, Maskinrum målas, Grop målas, Schaktbelysning byts"
2022-09,969676-6923,Fastighetsbolaget Bredfjäll KB,,,,Hammarkullen,,Möbelhiss,Bredfjällsgatan 60,Dekra,L7771246,Maj,Hissteknik,500*6,9*9,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Nej,990*2060*2200,900*2000,Nej,1,21,Ja Lysrör,Linhiss,1969,1997,Nej,2024,=SUM(AH12*1.3),800000,Frekvensstyrd,2;1,Kone,Sidohängd toppmaskin,Kone VK14*1969,Kone TMS50*1997,,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, HR byts,  Korgdörr monteras, Automatdörrar monteras, Lättviktskorg monteras, Maskinrum målas, Grop målas, Schaktbelysning byts"
2021-10,,Bostadsbolaget,,,,Hisingen,,Möbelhiss,Baladgatan 2 lilla,Dekra,L7786856,April,Hissteknik,320*4,10*10,Slagdörrar,Nej,Nedkollektiv i grupp,Inga automatdörrar,Ingen korgdörr,815*1200*2320,700*2000,Nej,0.6,26,Ja Lysrör,Linhiss,1962,1999,Nej,2024,=SUM(AH13*1.3),800000,Frekvensstyrd,1;1,Asea,Toppmaskin,Asea HSE 30,Kone TMS50*1999,Reg. skylten saknas. UrsprungligHR och maskin.,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Brythjul i maskinrum byts, Korgdörr monteras, Lås byts, Dörrkontakter byts,, Handtag byts, Korg byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras,  Maskinrum målas, Grop målas, Schaktbelysning byts"
2021-10,,Bostadsbolaget,,,,Hisingen,,Möbelhiss,Baladgatan 2 stora,Dekra,L7786874,April,Hissteknik,500*6,10*10,Slagdörrar med enstaka slagdörröppnare,Nej,Nedkollektiv i grupp,Inga automatdörrar,Ingen korgdörr,1000*1900*2310,900*2000,Nej,0.6,26,Ja Lysrör,Linhiss,1962,1999,Nej,2024,=SUM(AH14*1.3),800000,Frekvensstyrd,1;1,Asea,Toppmaskin dubbel omslutning,Asea HSE 40,Kone TMS50*1999,UrsprungligHR och maskin.,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Brythjul i maskinrum byts, Korgdörr monteras, Lås byts, Dörrkontakter byts,, Handtag byts, Korg byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras,  Maskinrum målas, Grop målas, Schaktbelysning byts"
2021-10,,Bostadsbolaget,,,,Hisingen,,Möbelhiss,Baladgatan 5 lilla,Dekra,L7786936,April,Hissteknik,320*4,10*10,Slagdörrar,Nej,Nedkollektiv i grupp,Inga automatdörrar,Ingen korgdörr,815*1200*2320,700*2000,Nej,0.6,26,Ja Lysrör,Linhiss,1962,1997,Nej,2024,=SUM(AH15*1.3),800000,Frekvensstyrd,1;1,Asea,Toppmaskin,Asea HSE 30,Kone TMS50*1997,UrsprungligHR och maskin.,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Brythjul i maskinrum byts, Korgdörr monteras, Lås byts, Dörrkontakter byts,, Handtag byts, Korg byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras,  Maskinrum målas, Grop målas, Schaktbelysning byts"
2021-10,,Bostadsbolaget,,,,Hisingen,,Möbelhiss,Baladgatan 5 stora,Dekra,L7786927,April,Hissteknik,500*6,10*10,Slagdörrar med enstaka slagdörröppnare,Nej,Nedkollektiv i grupp,Inga automatdörrar,Ingen korgdörr,1000*1900*2310,900*2000,Nej,0.6,26,Ja Lysrör,Linhiss,1962,1997,Nej,2024,=SUM(AH16*1.3),800000,Frekvensstyrd,1;1,Asea,Toppmaskin dubbel omslutning,Asea HSE 40,Kone TMS50*1997,UrsprungligHR och maskin.,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Brythjul i maskinrum byts, Korgdörr monteras, Lås byts, Dörrkontakter byts,, Handtag byts, Korg byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras,  Maskinrum målas, Grop målas, Schaktbelysning byts"
2021-10,,Bostadsbolaget,,,,Hisingen,,Möbelhiss,Memoargatan 14,Dekra,L7787097,April,Hissteknik,500*6,10*10,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,1000*2050*2300,900*2000,Nej,0.6,26,Ja Lysrör,Linhiss,1962,1999,Nej,2024,=SUM(AH17*1.3),800000,Frekvensstyrd,1;1,Asea,Toppmaskin dubbel omslutning,Asea HSE 40,Kone TMS50*1999,UrsprungligHR och maskin.,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Brythjul i maskinrum byts, Korgdörr monteras, Lås byts, Dörrkontakter byts,, Handtag byts, Korg byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras,  Maskinrum målas, Grop målas, Schaktbelysning byts"
2021-10,,Bostadsbolaget,,,,Hisingen,,Möbelhiss,Memoargatan 16,Dekra,L7787104,April,Hissteknik,500*6,10*10,Slagdörrar med enstaka slagdörröppnare,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,1000*2050*2300,900*2000,Nej,0.6,26,Ja Lysrör,Linhiss,1962,1999,Nej,2024,=SUM(AH18*1.3),800000,Frekvensstyrd,1;1,Asea,Toppmaskin dubbel omslutning,Asea HSE 40,Kone TMS50*1999,UrsprungligHR och maskin.,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Brythjul i maskinrum byts, Korgdörr monteras, Lås byts, Dörrkontakter byts,, Handtag byts, Korg byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras,  Maskinrum målas, Grop målas, Schaktbelysning byts"
2022-01,,Bostadsbolaget,,,,Kortedala,,Personhiss,Julianska Gatan 18,Dekra,L1551020,Maj,Hissteknik,320*4,11*11,Slagdörrar med enstaka slagdörröppnare,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,1200*1000*2300,700*2000,"Ja, Safeline, GSM med pictogram, Modell, SL6",0.8,30,Nej,Linhiss,1956,1995,Nej,2024,=SUM(AH19*1.3),Enl. Senare,Frekvensstyrd,1;1,Asea,Toppmaskin,MR14*1987,Kone TMS50*1995,Ursprunglig HR,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Utanpåliggande dörrstängare byts, Byte till lättviktskorg, Dörrar målas"
2021-11,,Bostadsbolaget,,,,Angered,,Personhiss,Fjällkåpan 10,Dekra,L1553770,Maj,Hissteknik,400*5,7*7,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,995*2205*2085,900*2000,"Ja, GSM med pictogram, Modell SL6+",0.6,16,Nej,Linhiss,1970,1997,Nej,2024,=SUM(AH20*1.3),600000,Frekvensstyrd,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1991,Kone TMS50*1997,"HR utbytt 2017, missljud.","Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras, Schaktbelysning monteras"
2021-11,,Bostadsbolaget,,,,Angered,,Personhiss,Fjällkåpan 11,Dekra,L1553788,Maj,Hissteknik,400*5,7*7,Slagdörrar med enstaka slagdörröppnare,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,995*2205*2085,900*2000,"Ja, GSM med pictogram, Modell SL6+",0.6,16,Nej,Linhiss,1970,1997,Nej,2027,=SUM(AH21*1.3),600000,Frekvensstyrd,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1985,Kone TMS50*1997,Ursprunglig HR,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras, Schaktbelysning monteras"
2021-11,,Bostadsbolaget,,,,Angered,,Personhiss,Fjällkåpan 12,Dekra,L1553797,Maj,Hissteknik,400*5,7*7,Slagdörrar med enstaka slagdörröppnare,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,995*2205*2085,900*2000,"Ja, GSM med pictogram, Modell SL6+",0.6,16,Nej,Linhiss,1970,1997,Nej,2027,=SUM(AH22*1.3),600000,Frekvensstyrd,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1985,Kone TMS50*1997,Ursprunglig HR,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras, Schaktbelysning monteras"
2021-11,,Bostadsbolaget,,,,Angered,,Personhiss,Fjällkåpan 3,Dekra,L1553706,Maj,Hissteknik,400*5,7*7,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,995*2205*2085,900*2000,"Ja, GSM med pictogram, Modell SL6+",0.6,16,Nej,Linhiss,1970,1997,Nej,2024,=SUM(AH23*1.3),600000,Frekvensstyrd,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1985,Kone TMS50*1997,HR utbytt 2016,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras, Schaktbelysning monteras"
2021-11,,Bostadsbolaget,,,,Angered,,Personhiss,Fjällkåpan 4,Dekra,L1553715,Maj,Hissteknik,400*5,7*7,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,995*2205*2085,900*2000,"Ja, GSM med pictogram, Modell SL6+",0.6,16,Nej,Linhiss,1970,1997,Nej,2024,=SUM(AH24*1.3),600000,Frekvensstyrd,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1984,Kone TMS50*1997,Ursprunglig HR,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras, Schaktbelysning monteras"
2021-11,,Bostadsbolaget,,,,Angered,,Personhiss,Fjällkåpan 5,Dekra,L1553724,Maj,Hissteknik,400*5,7*7,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,995*2205*2085,900*2000,"Ja, GSM med pictogram, Modell SL6+",0.6,16,Nej,Linhiss,1970,1997,Nej,2024,=SUM(AH25*1.3),600000,Frekvensstyrd,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1984,Kone TMS50*1997,Ursprunglig HR,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras, Schaktbelysning monteras"
2021-11,,Bostadsbolaget,,,,Angered,,Personhiss,Fjällkåpan 6,Dekra,L1553733,Maj,Hissteknik,400*5,7*7,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,995*2205*2085,900*2000,"Ja, GSM med pictogram, Modell SL6+",0.6,16,Nej,Linhiss,1970,1997,Nej,2024,=SUM(AH26*1.3),600000,Frekvensstyrd,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1985,Kone TMS50*1997,HR utbytt 2014,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras, Schaktbelysning monteras"
