Inventerings datum,Kund nummer,Kund,Kontaktperson,Telefonnummer,E-mail,Distrikt/ Ort,Fastighets beteckning,Hissbeteckning,Hissadress,Besiktningsorgan,Hissnummer,Besiktningsmånad,Skötselföretag,Märklast / Antal personer,Antal Plan/ Antal Dörrar,Typ av dörrar,Genomgång,Kollektiv,Bärbeslag automatdörrar typ och år,Dörrmaskin / Korgdörr typ och år,Korgstorlek BxDjxH i mm,Dagöppning dörrar BxH,Nödtelefon,Hastighet i m/s,Lyfthöjd i m,Schaktbelysning,Hisstyp,Byggår,Moderniseringsår,Garanti,Rekommenderat moderniseringsår,Uppdaterat budgetbelopp 2026,EJ aktuellt budgetbelopp,Drivsystem,Upphängning,Hiss Fabrikat,Maskinplacering,Typ av maskin och år,Typ av styrsystem och år,Övriga kommentarer,Åtgärder vid modernisering
2021-11,,Bostadsbolaget,,,,Angered,,Personhiss,Fjällkåpan 7,Dekra,L1553742,Maj,Hissteknik,400*5,7*7,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,995*2205*2085,900*2000,"Ja, GSM med pictogram, Modell SL6+",0.6,16,Nej,Linhiss,1970,1997,Nej,2024,=SUM(AH27*1.3),600000,Frekvensstyrd,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1985,Kone TMS50*1997,HR utbytt 2004,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras, Schaktbelysning monteras"
2021-11,,Bostadsbolaget,,,,Angered,,Personhiss,Fjällkåpan 8,Dekra,L1553751,Maj,Hissteknik,400*5,7*7,Slagdörrar med enstaka slagdörröppnare,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,995*2205*2085,900*2000,"Ja, GSM med pictogram, Modell SL6+",0.6,16,Nej,Linhiss,1970,1997,Nej,2024,=SUM(AH28*1.3),600000,Frekvensstyrd,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1985,Kone TMS50*1997,Ursprunglig HR,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras, Schaktbelysning monteras"
2021-11,,Bostadsbolaget,,,,Angered,,Personhiss,Fjällkåpan 9,Dekra,L1553760,Maj,Hissteknik,400*5,7*7,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,995*2205*2085,900*2000,"Ja, GSM med pictogram, Modell SL6+",0.6,16,Nej,Linhiss,1970,1997,Nej,2024,=SUM(AH29*1.3),600000,Frekvensstyrd,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1985,Kone TMS50*1997,HR utbytt 2017,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras, Schaktbelysning monteras"
2021-11,,Bostadsbolaget,,,,Angered,,Personhiss,Fjällnejlikan 4,Dekra,L1554769,Maj,Hissteknik,400*5,8*8,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,995*2205*2085,900*2000,"Ja, GSM med pictogram, Modell SL6+",0.6,19,Nej,Linhiss,1970,1997,Nej,2027,=SUM(AH30*1.3),600000,Frekvensstyrd,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1985,Kone TMS50*1997,"Ursprunglig HR, maskinen läcker olja.","Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras, Schaktbelysning monteras"
2021-11,,Bostadsbolaget,,,,Angered,,Personhiss,Fjällnejlikan 5,Dekra,L1554778,Maj,Hissteknik,400*5,8*8,Slagdörrar med enstaka slagdörröppnare,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,995*2205*2085,900*2000,"Ja, GSM med pictogram, Modell SL6+",0.6,19,Nej,Linhiss,1970,1997,Nej,2027,=SUM(AH31*1.3),600000,Frekvensstyrd,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1985,Kone TMS50*1997,Ursprunglig HR,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras, Schaktbelysning monteras"
2021-11,,Bostadsbolaget,,,,Angered,,Personhiss,Fjällnejlikan 6,Dekra,L1554787,Maj,Hissteknik,400*5,8*8,Slagdörrar med enstaka slagdörröppnare,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,995*2205*2085,900*2000,"Ja, GSM med pictogram, Modell SL6+",0.6,19,Nej,Linhiss,1970,1997,Nej,2027,=SUM(AH32*1.3),600000,Frekvensstyrd,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1984,Kone TMS50*1997,Ursprunglig HR,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras, Schaktbelysning monteras"
2021-11,,Bostadsbolaget,,,,Angered,,Personhiss,Fjällnejlikan 7,Dekra,L1554796,Maj,Hissteknik,400*5,7*7,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,995*2205*2085,900*2000,"Ja, GSM med pictogram, Modell SL6+",0.6,16,Nej,Linhiss,1970,1997,Nej,2027,=SUM(AH33*1.3),600000,Frekvensstyrd,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1984,Kone TMS50*1997,Ursprunglig HR med missljud,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras, Schaktbelysning monteras"
2021-10,,Bostadsbolaget,,,,Hisingen,,Personhiss,Västra Andersgårdsgatan 10,Dekra,L1587064,April,Hissteknik,500*6,4.4,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,980*2200*2100,900*2000,"Ja, GSM med pictogram, Safeline SL6+",0.6,8.5,Nej,Linhiss toppsid,1971,1988,Nej,2024,=SUM(AH34*1.3),500000,Tyristorstyrd ECD,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1988,Kone TMS200*1988,"Sliten hiss, går dåligt, saknar innerdörrar, inredning i korgen helt förstörd","Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Korgdörr byts, Lås byts, Dörrkontakter byts, Handtag byts, Korginredning byts, Dörrar målas, Sparkplåtar monteras, Maskinrum målas, Grop målas, Schaktbelysning byts"
2021-10,,Bostadsbolaget,,,,Hisingen,,Personhiss,Västra Andersgårdsgatan 12,Dekra,L1587073,April,Hissteknik,500*6,4.4,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,980*2200*2100,900*2000,"Ja, GSM med pictogram, Safeline SL6+",0.6,8.5,Nej,Linhiss toppsid,1971,1988,Nej,2024,=SUM(AH35*1.3),500000,Tyristorstyrd ECD,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1988,Kone TMS200*1988,"Sliten hiss, går dåligt, saknar innerdörrar, rökgasevakuering finns i maskinrummet, inredning i korgen helt förstörd","Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Korgdörr byts, Lås byts, Dörrkontakter byts, Handtag byts, Korginredning byts, Dörrar målas, Sparkplåtar monteras, Maskinrum målas, Grop målas, Schaktbelysning byts"
2021-10,,Bostadsbolaget,,,,Hisingen,,Personhiss,Västra Andersgårdsgatan 4,Dekra,L1587046,April,Hissteknik,500*6,4.4,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,980*2200*2100,900*2000,"Ja, GSM med pictogram, Safeline SL6+",0.6,8.5,Nej,Linhiss toppsid,1971,1988,Nej,2024,=SUM(AH36*1.3),500000,Tyristorstyrd ECD,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1988,Kone TMS200*1988,"Sliten hiss, går dåligt, saknar innerdörrar, inredning i korgen helt förstörd","Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Korgdörr byts, Lås byts, Dörrkontakter byts, Handtag byts, Korginredning byts, Dörrar målas, Sparkplåtar monteras, Maskinrum målas, Grop målas, Schaktbelysning byts"
2021-10,,Bostadsbolaget,,,,Hisingen,,Personhiss,Västra Andersgårdsgatan 6,Dekra,L1587055,April,Hissteknik,500*6,4.4,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,980*2200*2100,900*2000,"Ja, GSM med pictogram, Safeline SL6+",0.6,8.5,Nej,Linhiss toppsid,1971,1988,Nej,2024,=SUM(AH37*1.3),500000,Tyristorstyrd ECD,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1988,Kone TMS200*1988,"Sliten hiss, går dåligt, saknar innerdörrar, inredning i korgen helt förstörd","Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Korgdörr byts, Lås byts, Dörrkontakter byts, Handtag byts, Korginredning byts, Dörrar målas, Sparkplåtar monteras, Maskinrum målas, Grop målas, Schaktbelysning byts"
2021-10,,Bostadsbolaget,,,,Hisingen,,Möbelhiss,Baladgatan 3 lilla,Dekra,L7786883,April,Hissteknik,320*4,10*10,Slagdörrar,Nej,Nedkollektiv i grupp,Inga automatdörrar,Ingen korgdörr,815*1200*2320,700*2000,Nej,0.6,26,Ja Lysrör,Linhiss,1962,1998,Nej,2025,=SUM(AH38*1.3),800000,Frekvensstyrd,1;1,Asea,Toppmaskin,Asea HSE 30,Kone TMS50*1998,UrsprungligHR och maskin.,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Brythjul i maskinrum byts, Korgdörr monteras, Lås byts, Dörrkontakter byts,, Handtag byts, Korg byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras,  Maskinrum målas, Grop målas, Schaktbelysning byts"
2021-10,,Bostadsbolaget,,,,Hisingen,,Möbelhiss,Baladgatan 3 stora,Dekra,L7786892,April,Hissteknik,500*6,10*10,Slagdörrar med enstaka slagdörröppnare,Nej,Nedkollektiv i grupp,Inga automatdörrar,Ingen korgdörr,1000*1900*2310,900*2000,Nej,0.6,26,Ja Lysrör,Linhiss,1962,1998,Nej,2025,=SUM(AH39*1.3),800000,Frekvensstyrd,1;1,Asea,Toppmaskin dubbel omslutning,Asea HSE 40,Kone TMS50*1998,UrsprungligHR och maskin.,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Brythjul i maskinrum byts, Korgdörr monteras, Lås byts, Dörrkontakter byts,, Handtag byts, Korg byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras,  Maskinrum målas, Grop målas, Schaktbelysning byts"
2022-01,,Bostadsbolaget,,,,Kortedala,,Personhiss,Julianska Gatan 10,Dekra,L1550745,Maj,Hissteknik,320*4,11*11,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,1200*1000*2300,700*2000,"Ja, Safeline, GSM med pictogram, Modell, MX + GSM Line",0.8,30,Nej,Linhiss,1956,1997,Nej,2025,=SUM(AH40*1.3),Enl. Senare,Frekvensstyrd,1;1,Asea,Toppmaskin,MR14*1986,Otis MCS 220M*1997,Ursprunglig HR,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Utanpåliggande dörrstängare byts, Byte till lättviktskorg, Dörrar målas"
2022-01,,Bostadsbolaget,,,,Kortedala,,Personhiss,Julianska Gatan 12,Dekra,L1550754,Maj,Hissteknik,320*4,11*11,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,1200*1000*2300,700*2000,"Ja, Safeline, GSM med pictogram, Modell, MX + GSM Line",0.8,30,Nej,Linhiss,1956,1997,Nej,2025,=SUM(AH41*1.3),Enl. Senare,Frekvensstyrd,1;1,Asea,Toppmaskin,MR14*1986,Otis MCS 220M*1997,Ursprunglig HR,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Utanpåliggande dörrstängare byts, Byte till lättviktskorg, Dörrar målas"
2022-01,,Bostadsbolaget,,,,Kortedala,,Personhiss,Julianska Gatan 14,Dekra,L1550763,Maj,Hissteknik,320*4,11*11,Slagdörrar med enstaka slagdörröppnare,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,1200*1000*2300,700*2000,"Ja, Safeline, GSM med pictogram, Modell, MX + GSM Line",0.8,30,Nej,Linhiss,1956,1997,Nej,2025,=SUM(AH42*1.3),Enl. Senare,Frekvensstyrd,1;1,Asea,Toppmaskin,VK14*1977,Otis MCS 220M*1997,Ursprunglig HR,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Utanpåliggande dörrstängare byts, Byte till lättviktskorg, Dörrar målas"
2022-01,,Bostadsbolaget,,,,Centrum/Guldheden,,Personhiss,Doktor Sven Johanssons Backe 6,Kiwa,S691356,Augusti,Schindler,1125*15,8*8,Automatdörrar T2,Nej,Nedkollektiv,Schindler*2019,"Ja, Schindler*2019",1200*2100*2100,900*2100,"Ja, Modell, Schindler Cube",1,20,Ja Lysrör,MRL linhiss,2019,Ej ombyggd,Nej,2044,=SUM(AH43*1.3),Enligt senare,Frekvensstyrd,2;1,Schindler,Sidohängd toppmaskin,Schindler*2019,Schindler*2019,3300,Enligt senare
2021-05,,Bostadsbolaget,,,,Centrum/Guldheden,,Personhiss,Dr Wengbergsgata 10,Dekra,L1707773,Oktober,Hissteknik,1000;13,3;3,Automatdörrar T2,Nej,Direktstyrt med anropslagring,Otis a1-2005,Otis-2005,1100*2100*2200,900*2100,"Ja, GSM med pictogram",1,7,Ja Lysrör,"MRL linhiss, Otis gen2-2005",2005,Ej ombyggd,Nej,2030,=SUM(AH44*1.3),400000,Frekvensstyrd,2;1,Otis,Sidohängd toppmaskin,Otis rem-2005,Otis gen2-2005,,"Linor byts, Korgdörr byts, Topptracks byts, Styrskofoder byts"
2021-11,,Bostadsbolaget,,,,Hisingen,,Personhiss,Friskväderstorget 4,Dekra,L1566514,April,Hissteknik,255*3,10*10,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,850*880*2200,800*2000,"Ja, Safeline, GSM med pictogram, Modell SL6+ 4G",0.6,23,Ja lampor,Linhiss,1965,1998,Nej,2025,=SUM(AH45*1.3),800000,Frekvensstyrd,1;1,Kone,Toppmaskin,Kasper RUT 480*1991,Kone TMS50*1998,,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Handtag byts, Byte till lättviktskorg, Dörrar målas, Sparkplåtar monteras, Maskinrum målas, Grop målas, Schaktbelysning byts"
2021-06,,Bostadsbolaget,,,,Centrum/Guldheden,,Personhiss,Dr Westringsgata 14a,Dekra,L1560467,Oktober,Hissteknik,630;8,4;4,"En sida Automatdörr & en sida slagdörr, Automat plan 1",Ja,Direktstyrt med anropslagring,Adx-1987,Entréplan kone adr-1987,1100*1400*2200,900*2000,"Ja, Safeline, GSM med pictogram, Sl6",0.5,8,Ja Lysrör,Linhydraulhiss,1951,Kone 1987,Nej,2025,=SUM(AH46*1.3),460000,Hydraul,2;1,Kone,Källarmaskin,Kone hydronic 300,Kone tms 200-1987,,"Styrsystem byts, Hissmaskineri byts, Korgdörr monteras, Korgdörr byts, Lås byts, Dörrkontakter byts, Topptracks byts, Korginredning byts, Dörrar målas, Maskinrum målas, Hydraulcylinder packas om"
2021-10,,Bostadsbolaget,,,,Angered,,Personhiss,Fjällbinkan 2,Dekra,L1553402,Maj,Hissteknik,400*5,9*9,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,995*2205*2085,900*2000,"Ja, PSTN utan pictogram, Modell SL2000",0.6,21,Ja Lysrör,Linhiss,1970,1998,Nej,2025,=SUM(AH47*1.3),700000,Frekvensstyrd,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1984,Otis MCS 220 M*1998,HR utbytt 1999,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Handtag byts, Korginredning byts, Dörrar målas, Sparkplåtar monteras, Maskinrum målas, Grop målas, Schaktbelysning byts"
2021-11,,Bostadsbolaget,,,,Angered,,Personhiss,Fjällhavren 2,Dekra,L1553635,Maj,Hissteknik,400*5,7*7,Slagdörrar med enstaka slagdörröppnare,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,995*2205*2085,900*2000,"Ja, GSM med pictogram, Modell SL6+",0.6,16,Nej,Linhiss,1970,1998,Nej,2025,=SUM(AH48*1.3),600000,Frekvensstyrd,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1986,Otis MCS 220 M*1998,Ursprunglig HR,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras, Schaktbelysning monteras"
2021-11,,Bostadsbolaget,,,,Angered,,Personhiss,Fjällhavren 3,Dekra,L1553644,Maj,Hissteknik,400*5,7*7,Slagdörrar med enstaka slagdörröppnare,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,995*2205*2085,900*2000,"Ja, GSM med pictogram, Modell SL6+",0.6,16,Nej,Linhiss,1970,1998,Nej,2025,=SUM(AH49*1.3),600000,Frekvensstyrd,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1986,Otis MCS 220 M*1998,Ursprunglig HR,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras, Schaktbelysning monteras"
2021-11,,Bostadsbolaget,,,,Angered,,Personhiss,Fjällhavren 4,Dekra,L1553653,Maj,Hissteknik,400*5,7*7,Slagdörrar med enstaka slagdörröppnare,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,995*2205*2085,900*2000,"Ja, GSM med pictogram, Modell SL6+",0.6,16,Nej,Linhiss,1970,1998,Nej,2025,=SUM(AH50*1.3),600000,Frekvensstyrd,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1986,Otis MCS 220 M*1998,Ursprunglig HR,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras, Schaktbelysning monteras"
2021-11,,Bostadsbolaget,,,,Angered,,Personhiss,Fjällhavren 5,Dekra,L1553662,Maj,Hissteknik,400*5,7*7,Slagdörrar med enstaka slagdörröppnare,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,995*2205*2085,900*2000,"Ja, GSM med pictogram, Modell SL6+",0.6,16,Nej,Linhiss,1970,1998,Nej,2025,=SUM(AH51*1.3),600000,Frekvensstyrd,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1986,Otis MCS 220 M*1998,Ursprunglig HR,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras, Schaktbelysning monteras"
2021-11,,Bostadsbolaget,,,,Angered,,Personhiss,Fjällhavren 6,Dekra,L1553671,Maj,Hissteknik,400*5,7*7,Slagdörrar,Nej,Nedkollektiv,Inga automatdörrar,Ingen korgdörr,995*2205*2085,900*2000,"Ja, GSM med pictogram, Modell SL6+",0.6,16,Nej,Linhiss,1970,1998,Nej,2025,=SUM(AH52*1.3),600000,Frekvensstyrd,1;1,Kalea,Sidohängd toppmaskin,Kone MR14*1986,Otis MCS 220 M*1998,Ursprunglig HR,"Styrsystem byts, Knappar & tablåer byts, Hissmaskineri byts, Linor byts, Hr byts, Korgdörr monteras, Lås byts, Dörrkontakter byts, Dörrar målas, Sparkplåtar monteras, Draghandtag med underläggsplåt monteras, Schaktbelysning monteras"
